scenario,trial,num_poses,base_translation_sigma_mm,base_rotation_sigma_deg,success,runtime_ms,nfev,cost,method,camera_name,link_name,translation_error_mm,rotation_error_deg,mean_target_error_mm,max_target_error_mm,mean_target_rotation_error_deg,mean_cross_camera_target_disagreement_mm,max_cross_camera_target_disagreement_mm
gaussian,9,30,0.5,0.25,True,20.724122000501666,4,1686.3088536163252,JOINT_LINEAR,forearm_camera,forearm,0.7698171447876836,0.057764553776802584,1.0758625995620292,1.4965491384446408,0.05776455377680299,1.5126540298522204,3.2491529160601886
gaussian,9,30,0.5,0.25,True,20.724122000501666,4,1686.3088536163252,JOINT_LINEAR,wrist_camera,gripper,0.5262028299557001,0.10656248419234221,0.9821033813149895,2.0659913598203277,0.10656248419234136,1.5126540298522204,3.2491529160601886
gaussian,9,30,0.5,0.25,True,355.8683519995611,85,546.0677270158727,JOINT_HUBER,upper_arm_camera,upper_arm,0.35533857589651796,0.04005733665460901,0.6166208873644471,0.8524528574234186,0.040057336654609976,1.3564911766103656,3.362223810313283
gaussian,9,30,0.5,0.25,True,355.8683519995611,85,546.0677270158727,JOINT_HUBER,forearm_camera,forearm,0.6762187235987768,0.035679837191502514,0.8138906427017436,1.1979152039430743,0.03567983719150157,1.3564911766103656,3.362223810313283
gaussian,9,30,0.5,0.25,True,355.8683519995611,85,546.0677270158727,JOINT_HUBER,wrist_camera,gripper,0.652142558517767,0.13167490947793958,1.361261261300559,2.733076818119281,0.13167490947793914,1.3564911766103656,3.362223810313283
outliers,0,30,0.5,0.25,True,13.596493000477494,0,0.0,PARK,upper_arm_camera,upper_arm,5.594228103403601,0.792955561612695,9.738078537773522,13.082420898670325,0.7929555616126946,7.619578409554854,14.381240244791476
outliers,0,30,0.5,0.25,True,13.596493000477494,0,0.0,PARK,forearm_camera,forearm,1.2864764809236608,0.07901613513409406,1.4599690880702358,2.0881354130353302,0.0790161351340945,7.619578409554854,14.381240244791476
outliers,0,30,0.5,0.25,True,13.596493000477494,0,0.0,PARK,wrist_camera,gripper,1.7111751581405854,0.14209721628651484,2.3001899218363766,4.096756449144756,0.1420972162865152,7.619578409554854,14.381240244791476
outliers,0,30,0.5,0.25,True,21.56470200043259,4,65999.38664385985,JOINT_LINEAR,upper_arm_camera,upper_arm,7.772422258246288,0.4527907723002162,9.426535012523749,11.74014568643235,0.4527907723002165,8.839493594246596,21.98907564786722
outliers,0,30,0.5,0.25,True,21.56470200043259,4,65999.38664385985,JOINT_LINEAR,forearm_camera,forearm,3.2923172680194566,0.23439375485502495,3.6862228376780735,6.502311699912801,0.23439375485502534,8.839493594246596,21.98907564786722
